player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Nick Minicucci,173617,QB,DELAWARE,13,71.2,482,513,9.7,2.71,3,21,3.8,63.0,323,1,155,5.8,563,20,171,151,56.3,66.8,66.8,57.7,10,7,604,3,16.8,93.9,4.6,26,23,1,17,23,23,3.8,3703,7.2
Caden Veltkamp,156642,QB,FAU,12,75.3,486,512,7.6,2.45,4,23,4.2,67.4,345,0,144,5.7,555,21,169,165,56.9,73.2,73.6,54.1,5,17,589,0,15.3,88.9,4.0,22,20,0,17,23,24,4.1,3629,7.1
Sawyer Robertson,146839,QB,BAYLOR,12,67.2,481,505,9.9,2.53,10,25,4.6,60.2,304,0,140,5.9,544,19,172,118,76.4,70.3,67.2,68.4,4,12,590,1,15.0,93.2,3.9,21,16,0,10,31,21,3.6,3683,7.3
Jaylen Raynor,172203,QB,ARK STATE,13,73.5,476,503,8.5,2.71,8,17,3.1,65.8,331,0,160,5.4,575,19,181,113,61.6,74.7,68.5,75.1,5,11,615,1,19.4,88.2,5.4,31,39,2,12,19,21,3.4,3354,6.7
Darian Mensah,169984,QB,DUKE,14,76.2,463,503,9.4,2.91,7,28,5.2,66.6,335,0,179,5.1,552,18,189,154,46.4,84.1,85.0,49.2,2,6,588,4,15.6,107.9,5.1,28,21,0,31,34,21,3.6,3951,7.9
Jaron-Keawe Sagapolutele,198237,QB,CAL,13,73.7,467,495,8.8,2.61,11,28,5.4,63.6,315,0,183,8.4,547,29,173,130,53.5,78.3,79.4,47.2,2,9,577,2,16.4,88.7,5.5,30,16,3,12,18,20,3.5,3454,7.0
Malik Washington,198729,QB,MARYLAND,12,70.4,443,474,8.0,2.74,16,15,3.1,57.6,273,0,146,12.5,508,39,150,215,69.0,71.3,67.6,72.1,3,9,519,2,6.2,80.2,1.8,9,24,0,12,17,14,2.7,2963,6.3
Ty Simpson,157008,QB,ALABAMA,15,75.3,446,474,8.6,2.95,10,30,6.0,64.6,306,0,164,8.9,541,30,188,103,48.6,83.1,81.4,68.2,7,5,567,4,18.3,102.5,5.5,30,33,0,11,28,17,3.0,3561,7.5
Carson Beck,124010,QB,MIAMI FL,16,79.0,453,469,7.6,2.4,7,16,3.3,72.1,338,0,89,5.6,525,20,187,220,69.9,73.6,75.6,49.5,3,12,548,4,18.0,106.7,3.0,16,32,0,6,30,12,2.2,3813,8.1
Drew Mestemaker,190616,QB,N TEXAS,14,77.5,440,466,8.2,2.58,8,24,4.8,68.7,320,0,129,6.2,506,21,209,251,69.6,88.3,86.1,65.3,4,9,536,0,14.7,114.8,3.8,19,21,2,12,34,14,2.6,4381,9.4
